StationID	Easting	Northing	Sites		
D02-BMT1	444456	4640484	D02-HUP1	441984	4639557
D02-BMT2	440629	4640447	D02-MOP1	439938	4640991
D02-HUP1	441984	4639557	D02-RCP1	442530	4643467
D02-HUP2	442021	4639560	D02-SCP1	443127	4641452
D02-JBS1	446955	4644300	D03-AFP1	440609	4644105
D02-MBS1	447564	4645804	D03-AMP1	438005	4646551
D02-MBS2	447546	4645939	D03-CHP1	436807	4643667
D02-MDU1	447542	4646060	D03-MFP1	438554	4645949
D02-MOP1	439938	4640991	D04-DNP1	435016	4646204
D02-RCP1	442530	4643467	D04-FGP1	437490	4647531
D02-SCP1	443127	4641452	D04-RDP1	434928	4648923
D03-AFP1	440609	4644105	D05-ADC1	433486	4651062
D03-AMP1	438005	4646551	D05-BRP1	433167	4651141
D03-CHP1	436807	4643667	D05-MHC1	431095	4654039
D03-GOM1	439467	4647289	D05-MIA1	434129	4652772
D03-HOR1	442425	4645302	D05-PRC1	431129	4652505
D03-MFP1	438554	4645949	D06-KCG1	429421	4658994
D03-MFP2	438478	4645958	D07-ASC1	425518	4656746
D03-STB1	444847	4646615	D07-BEC1	426772	4658894
D04-DNP1	435016	4646204	D07-NOC1	427273	4660625
D04-EDW1	436694	4648962	D07-PLN1	425355	4661968
D04-EDW2	436637	4648897	D08-BOR1	427092	4665606
D04-EDW3	436665	4649055	D08-CCC1	423792	4667808
D04-EVC1	436420	4649014	D08-DAW1	426250	4663690
D04-EVC2	436452	4649135	D08-DAW2	425502	4665194
D04-FGP1	437490	4647531	D09-BON1	421556	4670997
D04-RDP1	434928	4648923	D09-CLG1	424348	4670718
D04-ROS1	443025	4648618	D09-RYW1	425325	4669890
D04-ROS2	442901	4648645	D09-VTC1	423286	4672819
D05-ADC1	433486	4651062	D10-CAN1	422570	4676856
D05-BRP1	433167	4651141	D10-KEM1	422642	4678827
D05-MHC1	431095	4654039	D10-MAC1	423491	4678479
D05-MIA1	434129	4652772	D10-VHC1	421816	4674934
D05-PRC1	431129	4652505	J01-CLP1	445913	4640354
D06-KCG1	429421	4658994	J01-LMP1	449308	4631876
